"Reference1","Reference2","C209","C210","I417","I418","I419","I420","dilution"
2.24,2.238,1.604,1.661,2.145,2.24,2.119,2.095,0.134330276895
2.177,2.128,1.607,1.588,1.905,2.143,2.069,2.028,0.03358256922375
2.161,2.203,1.52,1.264,1.839,2.028,2.162,1.936,0.00839564230593751
2.117,2.056,1.507,1.385,1.939,2.207,1.994,1.906,0.00209891057648438
2.023,1.988,1.536,1.486,1.717,2.104,1.936,1.669,0.000524727644121095
1.778,1.718,1.425,1.56,1.585,1.87,1.771,1.609,0.000131181911030274
1.586,1.707,1.558,1.437,1.631,1.65,1.638,1.459,3.27954777575684e-05
1.502,1.648,1.411,1.455,1.712,1.745,1.672,1.506,8.1988694393921e-06
1.556,1.461,1.574,1.491,1.536,1.523,1.564,1.563,2.04971735984803e-06
1.385,1.477,1.408,1.631,1.486,1.478,1.453,1.548,5.12429339962006e-07
1.415,1.501,1.5,1.518,1.473,1.51,1.373,1.489,1.28107334990502e-07
1.46,1.542,1.499,1.486,1.51,1.387,1.551,1.507,3.20268337476254e-08
